id,title,overview,poster_path,release_date,runtime,vote_average,genres,backdrop_path,tagline,status,budget,revenue,homepage,popularity,vote_count,Director,Star1,Star2,Star3,Star4,certificate
11,The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",2001,178 min,8.8,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"315,544,750",,92.0,1661481,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,U
12,Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",1994,142 min,8.8,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"330,252,182",,82.0,1809221,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,UA
13,"Il buono, il brutto, il cattivo",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",1966,161 min,8.8,[{'name': 'Western'}],,,,0,"6,100,000",,90.0,688390,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,A
14,The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",2002,179 min,8.7,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"342,551,365",,87.0,1485555,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,UA
15,The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1999,136 min,8.7,"[{'name': 'Action'}, {'name': 'Sci-Fi'}]",,,,0,"171,479,930",,73.0,1676426,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,A
16,Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1990,146 min,8.7,"[{'name': 'Biography'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"46,836,394",,90.0,1020727,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,A
17,Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.","https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1980,124 min,8.7,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Fantasy'}]",,,,0,"290,475,067",,82.0,1159315,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,UA
18,One Flew Over the Cuckoo's Nest,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1975,133 min,8.7,[{'name': 'Drama'}],,,,0,"112,000,000",,83.0,918088,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,A
19,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",2020,160 min,8.6,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,,,90.0,55291,Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,PG-13
20,Gisaengchung,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",2019,132 min,8.6,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"53,367,844",,96.0,552778,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,A
21,Soorarai Pottru,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","https://m.media-amazon.com/images/M/MV5BOTc2ZTlmYmItMDBhYS00YmMzLWI4ZjAtMTI5YTBjOTFiMGEwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",2020,153 min,8.6,[{'name': 'Drama'}],,,,0,,,,54995,Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,U
22,Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2014,169 min,8.6,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Sci-Fi'}]",,,,0,"188,020,017",,74.0,1512360,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,UA
23,Cidade de Deus,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",2002,130 min,8.6,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"7,563,397",,79.0,699256,Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,A
24,Sen to Chihiro no kamikakushi,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2001,125 min,8.6,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Family'}]",,,,0,"10,055,859",,96.0,651376,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,U
25,Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1998,169 min,8.6,"[{'name': 'Drama'}, {'name': 'War'}]",,,,0,"216,540,909",,91.0,1235804,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,R
26,The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX67_CR0,0,67,98_AL_.jpg",1999,189 min,8.6,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Fantasy'}]",,,,0,"136,801,374",,61.0,1147794,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,A
27,La vita è bella,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1997,116 min,8.6,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"57,598,247",,59.0,623629,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,U
28,Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1995,127 min,8.6,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,"100,125,643",,65.0,1445096,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,A
29,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1991,118 min,8.6,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"130,742,922",,85.0,1270197,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,A
30,Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1977,121 min,8.6,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Fantasy'}]",,,,0,"322,740,140",,90.0,1231473,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,UA
31,Seppuku,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY98_CR2,0,67,98_AL_.jpg",1962,133 min,8.6,"[{'name': 'Action'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,,,85.0,42004,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,
32,Shichinin no samurai,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",1954,207 min,8.6,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"269,061",,98.0,315744,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,U
33,It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY98_CR0,0,67,98_AL_.jpg",1946,130 min,8.6,"[{'name': 'Drama'}, {'name': 'Family'}, {'name': 'Fantasy'}]",,,,0,,,89.0,405801,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,PG
34,Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2019,122 min,8.5,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"335,451,311",,59.0,939252,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,A
35,Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2014,106 min,8.5,"[{'name': 'Drama'}, {'name': 'Music'}]",,,,0,"13,092,000",,88.0,717585,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,A
36,The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2011,112 min,8.5,"[{'name': 'Biography'}, {'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"13,182,281",,57.0,760360,Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,UA
37,The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX67_CR0,0,67,98_AL_.jpg",2006,130 min,8.5,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Sci-Fi'}]",,,,0,"53,089,891",,66.0,1190259,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,U
38,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX67_CR0,0,67,98_AL_.jpg",2006,151 min,8.5,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"132,384,315",,85.0,1189773,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,A
39,The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR2,0,67,98_AL_.jpg",2002,150 min,8.5,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'Music'}]",,,,0,"32,572,577",,85.0,729603,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,R
40,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",2000,155 min,8.5,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"187,705,427",,67.0,1341460,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,UA
41,American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1998,119 min,8.5,[{'name': 'Drama'}],,,,0,"6,719,864",,62.0,1034705,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,R
42,The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1995,106 min,8.5,"[{'name': 'Crime'}, {'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"23,341,568",,77.0,991208,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,A
43,Léon,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",1994,110 min,8.5,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"19,501,238",,64.0,1035236,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,A
44,The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX67_CR0,0,67,98_AL_.jpg",1994,88 min,8.5,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"422,783,777",,88.0,942045,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,U
45,Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1991,137 min,8.5,"[{'name': 'Action'}, {'name': 'Sci-Fi'}]",,,,0,"204,843,350",,75.0,995506,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,U
46,Nuovo Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_UX67_CR0,0,67,98_AL_.jpg",1988,155 min,8.5,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"11,990,401",,80.0,230763,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,U
47,Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",1988,89 min,8.5,"[{'name': 'Animation'}, {'name': 'Drama'}, {'name': 'War'}]",,,,0,,,94.0,235231,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,U
